color	gene_n
maroon	ST8SIA4
maroon	STAG1
maroon	STAG2
maroon	STAM2
maroon	STAT1
maroon	STAT2
maroon	STAU2
maroon	STEAP4
maroon	STK17A
maroon	STK17B
maroon	STK3
maroon	STK38L
maroon	STN1
maroon	STX12
maroon	STX7
maroon	STXBP3
maroon	STXBP5
maroon	SUPT20H
maroon	SUZ12
maroon	SWT1
maroon	SYCP2
maroon	SYF2
maroon	TAF7
maroon	TANK
maroon	TAOK1
maroon	TAP2
maroon	TBC1D15
maroon	TBC1D23
maroon	TBK1
maroon	TBPL1
maroon	TDP2
maroon	TDRD7
maroon	TENT5A
maroon	TGFBR1
maroon	THAP5
maroon	TIFA
maroon	TIPARP
maroon	TIPRL
maroon	TLR1
maroon	TLR2
maroon	TLR4
maroon	TLR6
maroon	TMED5
maroon	TMEM123
maroon	TMEM140
maroon	TMEM167A
maroon	TMEM167B
maroon	TMEM170B
maroon	TMEM184C
maroon	TMEM260
maroon	TMEM30A
maroon	TMEM33
maroon	TMEM50A
maroon	TMEM59
maroon	TMEM62
maroon	TMF1
maroon	TMX1
maroon	TNFAIP6
maroon	TNFSF10
maroon	TNFSF13B
maroon	TNKS2
maroon	TNPO1
maroon	TOR1A
maroon	TOR1AIP1
maroon	TOR1B
maroon	TP53INP1
maroon	TRAF6
maroon	TRANK1
maroon	TRAPPC8
maroon	TRIM14
maroon	TRIM22
maroon	TRIM33
maroon	TRIM38
maroon	TRIM5
maroon	TRIM56
maroon	TRIM69
maroon	TRIQK
maroon	TRMT1L
maroon	TSNAX
maroon	TUT7
maroon	TWF1
maroon	TXN
maroon	TYMP
maroon	U62317.4
maroon	UBA3
maroon	UBA7
maroon	UBE2B
maroon	UBE2D1
maroon	UBE2D3
maroon	UBE2J1
maroon	UBE2L6
maroon	UBE2W
maroon	UBL3
maroon	UBLCP1
maroon	UBR3
maroon	UBXN4
maroon	UGCG
maroon	UGP2
maroon	UHRF1BP1L
maroon	UNC93B1
maroon	UQCRQ
maroon	USP15
maroon	USP18
maroon	USP25
maroon	USP33
maroon	USP38
maroon	VAMP3
maroon	VAMP5
maroon	VAPA
maroon	VAV3
maroon	VBP1
maroon	VCPIP1
maroon	VCPKMT
maroon	VEZF1
maroon	VMP1
maroon	VNN2
maroon	VPS13B
maroon	VPS26A
maroon	VPS4B
maroon	VPS54
maroon	VTA1
maroon	WAPL
maroon	WARS1
maroon	WASHC4
maroon	WSB1
maroon	WTAP
maroon	XAF1
maroon	XIAP
maroon	XRCC4
maroon	XRCC5
maroon	XRN1
maroon	YME1L1
maroon	YTHDF3
maroon	YWHAZ
maroon	ZBP1
maroon	ZBTB34
maroon	ZC3HAV1
maroon	ZCCHC2
maroon	ZDHHC17
maroon	ZDHHC20
maroon	ZFAND5
maroon	ZFC3H1
maroon	ZFYVE16
maroon	ZFYVE26
maroon	ZMPSTE24
maroon	ZMYM2
maroon	ZNF148
maroon	ZNF207
maroon	ZNF230
maroon	ZNF267
maroon	ZNF281
maroon	ZNF292
maroon	ZNF350
maroon	ZNF415P1
maroon	ZNF496
maroon	ZNF684
darkgreen	AC092746.1
darkgreen	AC093849.4
darkgreen	AC103996.2
darkgreen	ADAMTS2
darkgreen	AF064858.1
darkgreen	AL592158.1
darkgreen	ALOX15B
darkgreen	AMPH
darkgreen	ARG1
darkgreen	ASPH
darkgreen	BCAT1
darkgreen	C5orf30
darkgreen	CD163
darkgreen	CD163L1
darkgreen	CLEC4E
darkgreen	CSGALNACT1
darkgreen	CSGALNACT2
darkgreen	DAAM2
darkgreen	DGKH
darkgreen	ECHDC3
darkgreen	FBXW2
darkgreen	FKBP5
darkgreen	FLT3
darkgreen	FMN1
darkgreen	GLDN
darkgreen	GRB10
darkgreen	IGHV2-70
darkgreen	IL1R2
darkgreen	INSR
darkgreen	IRAK3
darkgreen	ITPKC
darkgreen	JDP2
darkgreen	KBTBD6
darkgreen	KCNE1
darkgreen	KLF9
darkgreen	LINC02207
darkgreen	MAOA
darkgreen	MIR181A1HG
darkgreen	MYO1B
darkgreen	NUDT16
darkgreen	OLAH
darkgreen	ORM1
darkgreen	OSBPL1A
darkgreen	PCSK9
darkgreen	RN7SKP16
darkgreen	RNF144B
darkgreen	SAP30
darkgreen	SOCS5
darkgreen	SPATA6
darkgreen	STS
darkgreen	TEX2
darkgreen	TMC3-AS1
darkgreen	TMED8
darkgreen	TMIGD3
darkgreen	TMX4
darkgreen	TPST1
darkgreen	TSC22D3
